Entry,Category,Film,Director,Year,IMDB,Country
1,Romance,Brief Encounter,David Lean ,1945,http://www.imdb.com/title/tt0037558/,UK
2,Romance,Casablanca,Michael Curtiz,1942,http://www.imdb.com/title/tt0034583/,USA
3,Romance,Before Sunrise,Richard Linklater,1995,http://www.imdb.com/title/tt0112471/,USA
4,Romance,Before Sunset,Richard Linklater,2004,http://www.imdb.com/title/tt0381681/awards,USA
5,Romance,Breathless,Jean-Luc Godard,1960,http://www.imdb.com/title/tt0053472/,France
6,Romance,In the Mood for Love,Kar Wai Wong,2000,http://www.imdb.com/title/tt0118694/,Hong Kong
7,Romance,The Apartment,Billy Wilder,1960,http://www.imdb.com/title/tt0053604/,USA
8,Romance,Hannah & Her Sisters,Woody Allen ,1986,http://www.imdb.com/title/tt0091167/,USA
9,Romance,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,http://www.imdb.com/title/tt0338013/,USA
10,Romance,Room With a View,James Ivory,1985,http://www.imdb.com/title/tt0091867/,UK
11,Romance,Jules et Jim,Francois Truffaut,1962,http://www.imdb.com/title/tt0055032/,France
12,Romance,All That Heaven Allows,Douglas Sirk,1955,http://www.imdb.com/title/tt0047811/,USA
13,Romance,Gone with the Wind,Victor Fleming,1939,http://www.imdb.com/title/tt0031381/,USA
14,Romance,An Affair to Remember,Leo McCarey,1957,http://www.imdb.com/title/tt0050105/,USA
15,Romance,Umbrellas of Cherbourg,Jaques Demy ,1964,http://www.imdb.com/title/tt0058450/,France
16,Romance,Lost in Translation,Sofia Coppola,2003,http://www.imdb.com/title/tt0335266/,USA
17,Romance,Roman Holiday,William Wyler,1953,http://www.imdb.com/title/tt0046250/,USA
18,Romance,Wall-E,Andrew Stanton,2008,http://www.imdb.com/title/tt0910970/,USA
19,Romance,My Night With Maud,Eric Rohmer,1969,http://www.imdb.com/title/tt0064612/,France
20,Romance,Voyage to Italy,Roberto Rossellini,1954,http://www.imdb.com/title/tt0046511/,Italy
21,Romance,Dr Zhivago,David Lean,1965,http://www.imdb.com/title/tt0059113/,USA
22,Romance,Harold & Maude,Hal Ashby,1971,http://www.imdb.com/title/tt0067185/,USA
23,Romance,When Harry Met Sally,Rob Reiner,1989,http://www.imdb.com/title/tt0098635/,USA
24,Romance,Say Anything,Cameron crowe,1989,http://www.imdb.com/title/tt0098258/,USA
25,Romance,Fabulous Baker Boys,Steve Kloves,1989,http://www.imdb.com/title/tt0097322/,USA
26,Romance,A Matter of Life & Death,Emeric Pressburger,1946,http://www.imdb.com/title/tt0038733/,UK
27,Crime,Chinatown,Roman Polanski,1974,http://www.imdb.com/title/tt0071315/,USA
28,Crime,Touch of Evil,Orson Welles,1958,http://www.imdb.com/title/tt0052311/,USA
29,Crime,Vertigo,Alfred Hitchcock,1958,http://www.imdb.com/title/tt0052357/,USA
30,Crime,Badlands,Terrence Malik,1973,http://www.imdb.com/title/tt0069762/,USA
31,Crime,Rashomon,Akira Kurosawa,1950,http://www.imdb.com/title/tt0042876/,Japan
32,Crime,Double Indemnity,Billy Wilder,1944,http://www.imdb.com/title/tt0036775/,USA
33,Crime,Get Carter,Mike Hodges,1971,http://www.imdb.com/title/tt0067128/,UK
34,Crime,Pulp Fiction,Quentin Tarantino,1994,http://www.imdb.com/title/tt0110912/,USA
35,Crime,Hidden, Michael Haneke,2005,http://www.imdb.com/title/tt0387898/,France
